Name,Number,HexColor,CreatedOn,LastModified
Salmon - Light,761,f8b4ad,2025-09-08T00:00:00,2025-09-08T00:00:00
Pearl Gray - Very Light,762,d1d0d2,2025-09-08T00:00:00,2025-09-08T00:00:00
Yellow Green - Very Light,772,d7efa7,2025-09-08T00:00:00,2025-09-08T00:00:00
Baby Blue - Very Light,775,d4e3ef,2025-09-08T00:00:00,2025-09-08T00:00:00
Pink - Medium,776,fca8ad,2025-09-08T00:00:00,2025-09-08T00:00:00
Red - Deep,777,9b0042,2025-09-08T00:00:00,2025-09-08T00:00:00
Antique Mauve - Very Light,778,dca6a4,2025-09-08T00:00:00,2025-09-08T00:00:00
Brown,779,53332d,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz - Ultra Very Dark,780,945026,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz - Very Dark,781,a25f1f,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz - Dark,782,b26923,2025-09-08T00:00:00,2025-09-08T00:00:00
Topaz - Medium,783,d0883d,2025-09-08T00:00:00,2025-09-08T00:00:00
Cornflower Blue - Very Dark,791,2d2068,2025-09-08T00:00:00,2025-09-08T00:00:00
Cornflower Blue - Dark,792,454b8b,2025-09-08T00:00:00,2025-09-08T00:00:00
Cornflower Blue - Medium,793,7c82b5,2025-09-08T00:00:00,2025-09-08T00:00:00
Cornflower Blue - Light,794,a0b2d7,2025-09-08T00:00:00,2025-09-08T00:00:00
Royal Blue - Dark,796,272276,2025-09-08T00:00:00,2025-09-08T00:00:00
Royal Blue,797,2b3288,2025-09-08T00:00:00,2025-09-08T00:00:00
Delft Blue - Dark,798,4e5ca7,2025-09-08T00:00:00,2025-09-08T00:00:00
Delft Blue - Medium,799,6b7fc0,2025-09-08T00:00:00,2025-09-08T00:00:00
Delft Blue - Pale,800,b5c7e9,2025-09-08T00:00:00,2025-09-08T00:00:00
Coffee Brown - Dark,801,60391d,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Deep,803,202754,2025-09-08T00:00:00,2025-09-08T00:00:00
Peacock Blue - Dark,806,1d6c87,2025-09-08T00:00:00,2025-09-08T00:00:00
Peacock Blue,807,558b9e,2025-09-08T00:00:00,2025-09-08T00:00:00
Delft Blue,809,919fd5,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Light,813,7fa0c6,2025-09-08T00:00:00,2025-09-08T00:00:00
Garnet - Dark,814,711033,2025-09-08T00:00:00,2025-09-08T00:00:00
Garnet - Medium,815,800b34,2025-09-08T00:00:00,2025-09-08T00:00:00
Garnet,816,921238,2025-09-08T00:00:00,2025-09-08T00:00:00
Coral Red - Very Dark,817,bb1630,2025-09-08T00:00:00,2025-09-08T00:00:00
Baby Pink,818,fededd,2025-09-08T00:00:00,2025-09-08T00:00:00
Baby Pink - Light,819,fcebde,2025-09-08T00:00:00,2025-09-08T00:00:00
Royal Blue - Very Dark,820,151264,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Gray - Light,822,e8dfc7,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Dark,823,000b44,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Very Dark,824,284779,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Dark,825,34588f,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Medium,826,5075a7,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Very Light,827,a4c1de,2025-09-08T00:00:00,2025-09-08T00:00:00
Blue - Ultra Very Light,828,c3d7e6,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Olive - Very Dark,829,64480c,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Olive - Dark,830,6e501d,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Olive - Medium,831,7c5f20,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Olive,832,9c7230,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Olive - Light,833,b99956,2025-09-08T00:00:00,2025-09-08T00:00:00
Golden Olive - Very Light,834,d2b468,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Brown - Very Dark,838,4a3021,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Brown - Dark,839,5a3c2d,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Brown - Medium,840,7a5939,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Brown - Light,841,a37d64,2025-09-08T00:00:00,2025-09-08T00:00:00
Beige Brown - Very Light,842,cbb094,2025-09-08T00:00:00,2025-09-08T00:00:00
Beaver Gray - Ultra Dark,844,494842,2025-09-08T00:00:00,2025-09-08T00:00:00
Hazel Nut Brown,868,995c30,2025-09-08T00:00:00,2025-09-08T00:00:00
Hazelnut Brown - Very Dark,869,784c28,2025-09-08T00:00:00,2025-09-08T00:00:00
Pistachio Green - Ultra Dark,890,324233,2025-09-08T00:00:00,2025-09-08T00:00:00
Carnation - Dark,891,ee3246,2025-09-08T00:00:00,2025-09-08T00:00:00
Carnation - Medium,892,f44753,2025-09-08T00:00:00,2025-09-08T00:00:00
Carnation - Light,893,f66879,2025-09-08T00:00:00,2025-09-08T00:00:00
Carnation - Very Light,894,fd95a3,2025-09-08T00:00:00,2025-09-08T00:00:00
Hunter Green - Very Dark,895,344b2e,2025-09-08T00:00:00,2025-09-08T00:00:00
Coffee Brown - Very Dark,898,532f1b,2025-09-08T00:00:00,2025-09-08T00:00:00
Rose - Medium,899,ea6b78,2025-09-08T00:00:00,2025-09-08T00:00:00
Burnt Orange - Dark,900,c63117,2025-09-08T00:00:00,2025-09-08T00:00:00
Garnet - Very Dark,902,651329,2025-09-08T00:00:00,2025-09-08T00:00:00
Parrot Green - Very Dark,904,286324,2025-09-08T00:00:00,2025-09-08T00:00:00
Parrot Green - Dark,905,467924,2025-09-08T00:00:00,2025-09-08T00:00:00
Parrot Green - Medium,906,9c9e29,2025-09-08T00:00:00,2025-09-08T00:00:00
Parrot Green - Light,907,9dc72d,2025-09-08T00:00:00,2025-09-08T00:00:00
Emerald Green - Very Dark,909,106b43,2025-09-08T00:00:00,2025-09-08T00:00:00
Emerald Green - Dark,910,10814e,2025-09-08T00:00:00,2025-09-08T00:00:00
Emerald Green - Medium,911,109256,2025-09-08T00:00:00,2025-09-08T00:00:00
Emerald Green - Light,912,36b26b,2025-09-08T00:00:00,2025-09-08T00:00:00
Nile Green - Medium,913,55ca7d,2025-09-08T00:00:00,2025-09-08T00:00:00
Plum - Dark,915,95085a,2025-09-08T00:00:00,2025-09-08T00:00:00
Plum - Medium,917,ac1071,2025-09-08T00:00:00,2025-09-08T00:00:00
Red Copper - Dark,918,883630,2025-09-08T00:00:00,2025-09-08T00:00:00
Red Copper,919,9b371b,2025-09-08T00:00:00,2025-09-08T00:00:00
Copper - Medium,920,ab4836,2025-09-08T00:00:00,2025-09-08T00:00:00
Copper,921,c0573d,2025-09-08T00:00:00,2025-09-08T00:00:00
Copper - Light,922,dd6e4c,2025-09-08T00:00:00,2025-09-08T00:00:00
Gray Green - Very Dark,924,384a4a,2025-09-08T00:00:00,2025-09-08T00:00:00
Gray Green - Medium,926,617674,2025-09-08T00:00:00,2025-09-08T00:00:00
Gray Green - Light,927,9fa8a5,2025-09-08T00:00:00,2025-09-08T00:00:00
Gray Green - Very Light,928,c0c6c0,2025-09-08T00:00:00,2025-09-08T00:00:00
Antique Blue - Dark,930,495c6b,2025-09-08T00:00:00,2025-09-08T00:00:00
